"url","Listunstyled","Link","Link_link"
"http://www.findawod.com/wods","Run 800 Meters; 40 sdhp 24/16 KB’s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters","link","http://www.findawod.com/run_800_meters40_sdhp_2416_kbs40_walking_lunges_wi"
"http://www.findawod.com/wods","14min AMRAP:; Teams of Two- Break reps up however you wish.; 60x Power Cleans (115/75#); 40x Dips; 20x Thrusters (115/75#) ​","link","http://www.findawod.com/14min_amrapteams_of_two-_break_reps_up_however_you"
"http://www.findawod.com/wods","18 min EMOM:; Minute 1.) 15x Unbroken Wallballs (20/14#); Minute 2.) 50x Double unders -or- :45 seconds of practice; Minute 3.) :30 Plank","link","http://www.findawod.com/18_min_emomminute_1.)_15x_unbroken_wallballs_(2014"
"http://www.findawod.com/wods","For TIme:; 12-9-6; Power Snatch (95/65#); Burpee Box Jumps (24/20’’)​","link","http://www.findawod.com/for_time12-9-6power_snatch_(9565)burpee_box_jumps_"
"http://www.findawod.com/wods","8min AMRAP; 50x Wallballs; 75x Sit-ups; Max Meters on the rower.​","link","http://www.findawod.com/8min_amrap50x_wallballs75x_sit-upsmax_meters_on_th"
"http://www.findawod.com/wods","6RFT:; 4x HSPUs; 4x Box Jumps (28/24"")","link","http://www.findawod.com/6rft4x_hspus4x_box_jumps_(2824)"
"http://www.findawod.com/wods","12 Min EMOM; Odd: 5 Front Squat 135/95; Even: 7 Toes 2 Bar; M1:115/80; M2: 95/65; A little late but still appropriate!","link","http://www.findawod.com/_12_min_emom_odd_5_front_squat_13595_even_7_toes_2"
"http://www.findawod.com/wods","10 Min AMRAP; 4 Muscle Ups; 4 Burpees; 4 KB Swings Red/Yellow","link","http://www.findawod.com/_10_min_amrap_4_muscle_ups_4_burpees_4_kb_swings_r"
"http://www.findawod.com/wods","800m Run; Then…; 6 Rounds; 14 Burpees over the KB; 14 Goblet Squats; 14 KB Swings","link","http://www.findawod.com/_800m_run_then_6_rounds_14_burpees_over_the_kb_14_"
"http://www.findawod.com/wods","Partner WOD; 20 Min AMRAP; 2 Clean & Jerks 135/95; 6 Barbell Burpees; *1 Partner works while the other is resting","link","http://www.findawod.com/_partner_wod_20_min_amrap_2_clean__jerks_13595_6_b"
