"url","Listunstyled","Link","Link_link"
"http://www.findawod.com/wods/?page=1","Run 800 Meters; 40 sdhp 24/16 KB’s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters","link","http://www.findawod.com/run_800_meters40_sdhp_2416_kbs40_walking_lunges_wi"
"http://www.findawod.com/wods/?page=1","14min AMRAP:; Teams of Two- Break reps up however you wish.; 60x Power Cleans (115/75#); 40x Dips; 20x Thrusters (115/75#) ​","link","http://www.findawod.com/14min_amrapteams_of_two-_break_reps_up_however_you"
"http://www.findawod.com/wods/?page=1","18 min EMOM:; Minute 1.) 15x Unbroken Wallballs (20/14#); Minute 2.) 50x Double unders -or- :45 seconds of practice; Minute 3.) :30 Plank","link","http://www.findawod.com/18_min_emomminute_1.)_15x_unbroken_wallballs_(2014"
"http://www.findawod.com/wods/?page=1","For TIme:; 12-9-6; Power Snatch (95/65#); Burpee Box Jumps (24/20’’)​","link","http://www.findawod.com/for_time12-9-6power_snatch_(9565)burpee_box_jumps_"
"http://www.findawod.com/wods/?page=1","8min AMRAP; 50x Wallballs; 75x Sit-ups; Max Meters on the rower.​","link","http://www.findawod.com/8min_amrap50x_wallballs75x_sit-upsmax_meters_on_th"
"http://www.findawod.com/wods/?page=1","6RFT:; 4x HSPUs; 4x Box Jumps (28/24"")","link","http://www.findawod.com/6rft4x_hspus4x_box_jumps_(2824)"
"http://www.findawod.com/wods/?page=1","12 Min EMOM; Odd: 5 Front Squat 135/95; Even: 7 Toes 2 Bar; M1:115/80; M2: 95/65; A little late but still appropriate!","link","http://www.findawod.com/_12_min_emom_odd_5_front_squat_13595_even_7_toes_2"
"http://www.findawod.com/wods/?page=1","10 Min AMRAP; 4 Muscle Ups; 4 Burpees; 4 KB Swings Red/Yellow","link","http://www.findawod.com/_10_min_amrap_4_muscle_ups_4_burpees_4_kb_swings_r"
"http://www.findawod.com/wods/?page=1","800m Run; Then…; 6 Rounds; 14 Burpees over the KB; 14 Goblet Squats; 14 KB Swings","link","http://www.findawod.com/_800m_run_then_6_rounds_14_burpees_over_the_kb_14_"
"http://www.findawod.com/wods/?page=1","Partner WOD; 20 Min AMRAP; 2 Clean & Jerks 135/95; 6 Barbell Burpees; *1 Partner works while the other is resting","link","http://www.findawod.com/_partner_wod_20_min_amrap_2_clean__jerks_13595_6_b"
"http://www.findawod.com/wods/?page=2","In teams of 3:; Row as many meters as possible in 15 minutes; * Switch partners ever whenever desired.","link","http://www.findawod.com/_in_teams_of_3_row_as_many_meters_as_possible_in_1"
"http://www.findawod.com/wods/?page=2","15 Min Death by…; Burpees; Shoulder 2 OH w/Barbell; * Begin at 5 reps.; ** If reps aren’t completed in the minute, cut them in half and start from the half reps again.","link","http://www.findawod.com/_15_min_death_by_burpees_shoulder_2_oh_wbarbell_*_"
"http://www.findawod.com/wods/?page=2","16 Min EMOM; Odd: 10 Shoulder 2 OH 135/95; Even: 25 Sit-Ups; M1: 115/80; M2: 95/65","link","http://www.findawod.com/_16_min_emom_odd_10_shoulder_2_oh_13595_even_25_si"
"http://www.findawod.com/wods/?page=2","CrossFit Disco; 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, reps of:; Power Cleans 135/95; Pull Ups; M1:115/80; M2: 95/65","link","http://www.findawod.com/_crossfit_disco_10,_9,_8,_7,_6,_5,_4,_3,_2,_1,_rep"
"http://www.findawod.com/wods/?page=2","14 Min EMOM; Odd: 4 Power Snatches 95/65; Even: 30 Double Unders/60 Singles; M1: 75/55; M-COMP; Odd: Power Snatch 135/95; Even: 30 Double Unders + 2 Muscle Up’s","link","http://www.findawod.com/_14_min_emom_odd_4_power_snatches_9565_even_30_dou"
"http://www.findawod.com/wods/?page=2","3 Min AMRAP x 3; 1 Muscle Up; 2 Deadlifts @ 80% of 1 RM; 4 Burpees; *1 min Rest inbetween AMRAP’s","link","http://www.findawod.com/_3_min_amrap_x_3_1_muscle_up_2_deadlifts__80_of_1_"
"http://www.findawod.com/wods/?page=2","Fran; 21-15-9; Thrusters 95/65; Pull-Ups","link","http://www.findawod.com/_fran_21-15-9_thrusters_9565_pull-ups"
"http://www.findawod.com/wods/?page=2","Open WOD 13.1; 17 Min AMRAP; 40 Burpees; 30 Snatches 75/55; 30 Burpees; 30 Snatches 135/95; 20 Burpees; 30 Snatches 165/100; 10 Burpees; Snatches as many as possible at 210/120","link","http://www.findawod.com/_open_wod_13.1_17_min_amrap_40_burpees_30_snatches"
"http://www.findawod.com/wods/?page=2","2 rounds for time:; 50 pull up; 75 Sit-ups; 50 OH squat 75/55; 75 Double-unders; M1:20 attempts; M2:65/45; M3:55/35; M4:45/35","link","http://www.findawod.com/2_rounds_for_time_50_pull_up_75_sit-ups_50_oh_squa"
"http://www.findawod.com/wods/?page=2","Partner WOD; 20 Min AMRAP; 2 Clean & Jerks 135/95; 6 Barbell Burpees; *1 Partner works while the other is resting","link","http://www.findawod.com/partner_wod_20_min_amrap_2_clean__jerks_13595_6_ba"
"http://www.findawod.com/wods/?page=3","Endurance; Set up equipment for part B prior to starting the run.; A. Group Indian Run; -1 lap of the field (3 miles in total); -last person in line sprints to front then last person in line sprints to front for the entire run; -1:00 min rest-; B. 10 AMRAP; 40 Step-ups; 40 Box Jump Overs; 40 Ground to OH (75,55); Remaining time MAX Burpees; -1:00 min rest-; C. 50m Walking lunges (In Place); 50m Jumping Squats; 50 Russian Twists; 50 Sit ups; 50 KBS","link","http://www.findawod.com/endurance_set_up_equipment_for_part_b_prior_to_sta"
"http://www.findawod.com/wods/?page=3","5 rounds; 30 Wall Ball 20/14; 15 Push-Ups","link","http://www.findawod.com/5_rounds_30_wall_ball_2014_15_push-ups"
"http://www.findawod.com/wods/?page=3","3 Min AMRAP x 3; 5 Shoulder 2 OH 115/80; 10 Deadlifts; 15 Box Jumps/Step-Ups; M1: 95/65; M2: 75/55; *1 Min rest between rounds","link","http://www.findawod.com/3_min_amrap_x_3_5_shoulder_2_oh_11580_10_deadlifts"
"http://www.findawod.com/wods/?page=3","CrossFit Disco; 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, reps of:; Power Cleans 135/95; Pull Ups; M1:115/80; M2: 95/65","link","http://www.findawod.com/crossfit_disco_10,_9,_8,_7,_6,_5,_4,_3,_2,_1,_reps"
"http://www.findawod.com/wods/?page=3","12 Min EMOM; Odd: 6 Push Press 135/95; Even: 15 Ball Slams 20/14","link","http://www.findawod.com/12_min_emom_odd_6_push_press_13595_even_15_ball_sl"
"http://www.findawod.com/wods/?page=3","14 Min EMOM; Odd: 4 Power Snatches 95/65; Even: 30 Double Unders/60 Singles; M1: 75/55; M-COMP; Odd: Power Snatch 135/95; Even: 30 Double Unders + 2 Muscle Up’s","link","http://www.findawod.com/14_min_emom_odd_4_power_snatches_9565_even_30_doub"
"http://www.findawod.com/wods/?page=3","Teams of 3:; 100 Deads, 135/95; 80 Hang Power Clean; 60 Front Squats; 40 Jerks; 20 Thrusters; M1: 115/80; M2: 95/65","link","http://www.findawod.com/teams_of_3_100_deads,_13595_80_hang_power_clean_60"
"http://www.findawod.com/wods/?page=3","Spice Girls; 3 rounds at each movement before rotating.; :40s for Max Reps, :20s Rest; 1. Row for Calories; 2. Pull-Ups; 3. Pushups; 4. Kettlebell Swings (53/35","link","http://www.findawod.com/spice_girls_3_rounds_at_each_movement_before_rotat"
"http://www.findawod.com/wods/?page=3","Teams of 2 complete the following:; AMRAP 15:; 5 Snatches 95/65; 10 No Squat Wall Balls 20/14; *One athlete completes a full round, while the other rests.","link","http://www.findawod.com/teams_of_2_complete_the_following_amrap_15_5_snatc"
"http://www.findawod.com/wods/?page=3","A.; Every 90 seconds, for 18 minutes (4 sets):; Station 1 – Barbell Hip Thrusts x 8 reps @ 21X1; Station 2 – Tempo Push-Ups x 15 reps @ 1111; Station 2 – Supine Ring Rows x 10 reps @ 2111; B.; Three rounds for time of:; Row 500 Meters; 24 Russian Kettlebell Swings (heavy); 12 Box Jumps (20","link","http://www.findawod.com/a._every_90_seconds,_for_18_minutes_(4_sets)_stati"
"http://www.findawod.com/wods/?page=4","Workout of the Day; Four sets of:; In five minutes, row 500 meters, and then complete as many rounds and reps as possible of the following couplet:; 10 Kettlebell Swings (24/16 kg); 10 Push-Ups; Rest exactly 5 minutes between sets","link","http://www.findawod.com/workout_of_the_day_four_sets_of_in_five_minutes,_r"
"http://www.findawod.com/wods/?page=4","A.; Every four minutes, for 16 minutes (4 sets):; Weighted Pull-Ups x 1-2 reps; At the top of the next minute…; 30 Seconds of Strict Pull-Ups for Max Reps; At the top of the next minute…; 20 Walking Lunges with Overhead Plate Carry (45/25 lbs); B.; 10 Renegade Rows; 20 Calorie Row on Concept 2; 30 Kettlebell Swings (32/24 kg); 400 Meter Run","link","http://www.findawod.com/a._every_four_minutes,_for_16_minutes_(4_sets)_wei"
"http://www.findawod.com/wods/?page=4","Three sets for max reps of:; 60 seconds of Wall Ball Shots (20/14 lbs); 60 seconds of Push Press (75/55 lbs); 60 seconds of Kettlebell Swings (24/16 kg); 60 seconds of Rowing for Calories; Rest 60 seconds","link","http://www.findawod.com/three_sets_for_max_reps_of_60_seconds_of_wall_ball"
"http://www.findawod.com/wods/?page=4","A.; Every minute, on the minute, for 12 minutes:; Minute 1 – Supine Ring Rows x 8 reps @ 2111; Minute 2 – L-Seated DB Press x 8 reps @ 2011; Minute 3 – Tempo Push-Ups x 10 reps @ 1111; B.; Every minute, on the minute, for 21 minutes:; Minute 1 – 10-15 Kettlebell Swings; Minute 2 – 8 Burpee Box Jump-Overs; Minute 3 – 10 Toes to Bar","link","http://www.findawod.com/a._every_minute,_on_the_minute,_for_12_minutes_min"
"http://www.findawod.com/wods/?page=4","Workout of the Day; A.; Every 2 minutes, for 30 minutes (5 sets of each):; Station 1 – Deadlift x 6-8 reps; (build up, using the first 2-3 sets to get to a heavy working weight); Station 2 – Turkish Get-Ups x 2 reps each arm; (pause for 1 full second in each position of the get-up and focus on good positioning and stability); Station 3 – 45-60 second Nose-to-Wall Handstand Hold; B.; In teams of two, with partners alternating movements, complete as many rounds and reps as possible in 10 minutes of:; Row 250 Meters; 30 Kettlebell Swings (24/16 kg); 10 Stationary Dips or 15 Push-Ups; E.g., Partner A rows 250 meters, Partner B does 30 KB Swings, Partner A performs dips or push-ups, Partner B rows 250 meters, etc","link","http://www.findawod.com/workout_of_the_day_a._every_2_minutes,_for_30_minu"
"http://www.findawod.com/wods/?page=4","Workout of the Day; A.; Four sets of:; Barbell or Dumbbell Push Press x 6-8 reps; Rest 45 seconds; Single-Leg Box Step-Ups x 6-8 reps each @ 3011; (slowly descend from top of the box and gently tap your heal to the ground before ascending); Rest 45 seconds; Single-Arm Dumbbell Row x 8-10 reps each arm @ 2110; Rest 45 seconds; B.; Three rounds for time of:; 6 Dumbbell Man-Makers; (push-up, row left, row right, power clean, push press); 9 Strict Handstand Push-Ups; 12 Burpees","link","http://www.findawod.com/workout_of_the_day_a._four_sets_of_barbell_or_dumb"
"http://www.findawod.com/wods/?page=4","A.; Three sets not for time of:; L- Pull-Ups x 5-7 reps; Kettlebell Clean and Press x 5-7 reps each arm; Row Sprint Start to 150 Meters; B.; Complete as many rounds and reps as possible in 7 minutes of:; 30 Wall Ball Shots (20/14 lbs); 20 Box Jumps (24″/20″); 10 Toes to Bar","link","http://www.findawod.com/a._three_sets_not_for_time_of_l-_pull-ups_x_5-7_re"
"http://www.findawod.com/wods/?page=4","Workout of the Day; A.; Three sets, not for time, of:; Bottoms Up Kettlebell Carry x 20 meters each arm; 30-60 seconds Upside Down Work (HSPU, Negatives, Holds, Walks, etc); Box Jumps x 12-15 reps; B.; Partners alternate to complete 10 sets each of:; 15 Heavy Kettlebell Swings; 100 Meter Run","link","http://www.findawod.com/workout_of_the_day_a._three_sets,_not_for_time,_of"
"http://www.findawod.com/wods/?page=4","Workout of the Day; A.; Three sets of:; Dumbbell Walking Lunge x 20 steps; Rest 60 seconds; Pull-Ups x 6-8 reps @ 2110; Rest 60 seconds; B.; Complete as many rounds and reps as possible in 10 minutes of:; 5 Pull-Ups; 15 Push Press; 30 Kettlebell Swings; C.; Optional Finisher – For time:; 500 Meter Row","link","http://www.findawod.com/workout_of_the_day_a._three_sets_of_dumbbell_walki"
"http://www.findawod.com/wods/?page=4","A little holiday treat, Invictus style. Perform the movements to the tune of “12 Days of Christmas”; 1 – 100 Meter Run; 2 – Burpee Box Jump Overs; 3 – Push-Ups; 4 – Toes to Bar; 5 – Burpees; 6 – Dumbbell Grounds to Overhead; 7 – Push-ups; 8 – JumpingLunges; 9 – Kettlebell Swings; 10 – Shoulder to Overhead; 11 – Goblet Squats; 12 – Pull-Ups","link","http://www.findawod.com/a_little_holiday_treat,_invictus_style._perform_th"
