,Col 1
0,"AGOQ Workout 3; 21-15-9 reps for time of:  Shoulder-to-overheads, 135 lb.  Chest-to-bar pull-ups; Post time to comments."
1,"AGOQ Workout 2; Complete as many rounds and reps as possible in 4, 8, 12, 16 or 20 minutes of:  25 toes-to-bars  50 double-unders  15 squat cleans*; Begin with a 4 minute time cap. If 1 round is completed in under 4 minutes extend time to 8 minutes. If 2 rounds are completed in under 8 minutes extend time to 12 minutes. Etc., adding 4 minutes per round completed for up to 20 minutes.; *1st round, 15 reps at 135 / 85 lb.  2nd round, 13 reps, 185 / 115 lb.  3rd round, 11 reps, 225 / 145 lb.  4th round, 9 reps, 275 / 175 lb.  5th round, 7 reps, 315 / 205 lb.; Compare to 160304."
2,AGOQ Workout 1; For time:  100 dumbbell snatches  80-cal. row  60 bar-facing burpees  40 muscle-ups; Men use 50-lb. dumbbell  Women use 35-lb. dumbbell; Post time to comments.
3,"Rest Day; ""PubMed Begins Flagging Conflicted Research: Coke Science Now Searchable,"" The Russells.; Post thoughts to comments."
4,Snatch 3-3-3-3-3 reps; Post loads to comments.; Compare to 151205.
5,"For time:  135-lb. thrusters, 15 reps  135-lb. sumo deadlift high pulls, 21 reps  135-lb. thrusters, 12 reps  135-lb. sumo deadlift high pulls, 15 reps  135-lb. thrusters, 9 reps  135-lb. sumo deadlift high pulls, 9 reps; Post time to comments.; Compare to 140128."
6,"For time:  15-ft. rope climb, 30 ascents; Post time to comments."
7,"Rest Day; ""Type 2 diabetes, once considered a disease for adults, is increasingly common in tweens and teens,"" Los Angeles Times.; Post thoughts to comments."
8,"Wes; For time:  Run 800 meters with a 25-lb. plate  Then, 14 rounds of:  5 strict pull-ups  4 burpee box jumps, 24-in. box  3 cleans, 185 lb.  Then, run 800 meters with a 25-lb. plate; Post time to comments."
9,"On the C2 rower, 10 rounds of:  Pull a sub-1:30/500-m pace for as long as possible  Rest 1 minute; Post time maintained each round to comments.; Scale pace time as needed."
10,Back squat 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 160929.
11,"Rest Day; ""Tackling Weight Loss and Diabetes With Video Chats,"" The New York Times.; Post thoughts to comments."
12,"5 rounds for time of:  225-lb. clean and jerks, 4 reps  6 bar muscle-ups  40-ft. handstand walk; Post time to comments."
13,"4 rounds for time of:  15 box jumps, 36-inch box  Run 400 meters; Post time to comments.; Compare to 150827."
14,30-20-10 reps for time of:  35-lb. dumbbell thrusters  Toes-to-bars; Post time to comments.
15,"Rest Day; ""Coca-Cola?s secret influence on medical and science journalists,"" The bmj.; Post thoughts to comments."
16,Complete as many rounds as possible in 20 minutes of:  Run 400 meters  15 L pull-ups  15 hip extensions; Post rounds completed to comments.; Compare to 081217.
17,Deadlift 3-3-3-3-3 reps; Post loads to comments.; Compare to 160824.
18,"Complete as many rounds as possible in 15 minutes of:  21 GHD sit-ups  14 one-arm dumbbell push jerks; Use a single, heavy dumbbell and alternate arms each rep.; Post rounds completed and dumbbell weight to comments."
19,"Rest Day; ""Jo?l Robuchon Believes Healthy Food Is the Future of Fine Dining,"" Vice.; Post thoughts to comments."
20,6-9-12-9-6 reps for time of:  Burpees over the bar  185-lb. front squats  Chest-to-bar pull-ups; Post time to comments.
21,"Complete as many rounds as possible in 10 minutes of:  10 handstand push-ups  95-lb. front rack walking lunges, 15 steps; Post rounds completed to comments."
22,Clean and jerk 3-3-3-3-3 reps; Post loads to comments.; Compare to 160220.
23,"Rest Day; ""Sugar now an investment risk, says AMP,"" The Australian.; Post thoughts to comments."
24,Amanda; 9-7-5 reps for time of:  Muscle-ups  135-lb. squat snatches; Post time to comments.; Compare to 140418.
25,"5 rounds for time of:  Run 400 meters  185-lb. deadlifts, 21 reps; Post time to comments.; Compare to 131126."
26,"For time:  20-lb. medicine-ball cleans, 50 reps  155-lb. push jerks, 25 reps  20-lb. medicine-ball cleans, 50 reps; Post time to comments."
27,"Rest Day; ""Leaked email reveals dietitian?s murky relationship with Monsanto,"" Food.mic.; Post thoughts to comments."
28,3 rounds for time:  One minute of 135-lb. back squats  Rest one minute  One minute of chest-to-bar pull-ups  Rest one minute  One minute of 135-lb. power cleans  Rest one minute; Post total reps completed to comments.
29,Run 5 km; Post time to comments.; Compare to 160606.
30,Workout 17.5; 10 rounds for time of:  9 thrusters  35 double-unders; Men use 95 lb.  Women use 65 lb.; Post rounds/reps completed to comments and/or submit your score as part of the 2017 Reebok CrossFit Games Open.
31,"Rest Day; ""Muhtar Meets Pablo: Laundering Coke Dollars,"" The Russells.; Post thoughts to comments."
32,"Weighted pull-ups 3-3-3-3-3 reps  Row 1,000 meters; Post loads and row time to comments."
33,"Liam; For time:  Run 800 meters with a 45-lb. plate  100 toes-to-bars  155-lb. front squats, 50 reps  15-ft. rope climbs, 10 ascents  Run 800 meters with a 45-lb. plate; Partition the toes-to-bars, front squats and rope climbs as needed. Start and finish with the run.; Post time to comments."
34,"Midline March; 3 rounds for time of:  25 GHD sit-ups  50-foot handstand walk  50-foot overhead walking lunge, 155 lb.; Post time to comments.; Compare to 140727."
35,"Rest Day; ""Years of Ethics Charges, but Star Cancer Researcher Gets a Pass,"" The New York Times.; Post thoughts to comments."
36,Front squat 3-3-3 reps  Thruster 3-3-3 reps  Push jerk 3-3-3 reps; Post loads to comments.
37,Workout 17.4; Complete as many rounds and reps as possible in 13 minutes of:  55 deadlifts  55 wall-ball shots  55-calorie row  55 handstand push-ups; Men deadlift 225 lb. and throw 20-lb. ball to 10-ft. target  Women deadlift 155 lb. and throw 14-lb. ball to 9-ft. target; Post rounds/reps completed to comments and/or submit your score as part of the 2017 Reebok CrossFit Games Open.; Compare to 160318.
38,"5 rounds for time of:  10 kettlebell clean and jerks, 1.5 pood each  3 muscle-ups; Post time to comments.; Compare to 131204."
39,"Rest Day; ""We're all getting fat,"" Politico.; Post thoughts to comments."
40,Back squat 3-3-3-3-3 reps; Post loads to comments.; Compare to 160622.
41,"3 rounds for time of:  3 legless rope climbs  6 push jerks, 225 lb.  12 deadlifts, 225 lb.  24 GHD sit-ups  48 wall-ball shots, 20-lb. ball; Post time to comments."
42,"For time:  Row 500 meters  30 body-weight bench presses  Row 1,000 meters  20 body-weight bench presses  Row 2,000 meters  10 body-weight bench presses; Post time to comments.; Compare to 130315."
43,"Rest Day; ""Obesity's hefty price tag,"" Politico.; Post thoughts to comments."
44,"Workout 17.3; *Prior to 8:00, complete:  3 rounds of:  6 chest-to-bar pull-ups  6 squat snatches, (95 / 65 lb.)  Then, 3 rounds of:  7 chest-to-bar pull-ups  5 squat snatches (135 / 95 lb.)  *Prior to 12:00, 3 rounds of:  8 chest-to-bar pull-ups  4 squat snatches (185 / 135 lb.)  *Prior to 16:00, 3 rounds of:  9 chest-to-bar pull-ups  3 squat snatches (225 / 155 lb.)  *Prior to 20:00, 3 rounds of:  10 chest-to-bar pull-ups  2 squat snatches (245 / 175 lb.)  Prior to 24:00, 3 rounds of:  11 chest-to-bar pull-ups  1 squat snatch (265 / 185 lb.); *If all reps are completed, time cap extends by 4 minutes.; Post rounds/reps completed to comments and/or submit your score as part of the 2017 Reebok CrossFit Games Open."
45,3 rounds for time of:  Run 800 meters  Rest 2 minutes; Post time to comments.; Compare to 140326.
46,Deadlift 5-5-3-3-3-1-1-1-1 reps; Post loads to comments.; Compare to 160508.
47,"Rest Day; ""The Brain Can Produce Its Own Sugar: Report,"" U.S. News.; Post thoughts to comments."
48,4 rounds for time of:  15 ring dips  30 GHD sit-ups  Run 400 meters; Post time to comments.
49,"5 rounds for time of:  100-foot handstand walk  30 one-legged squats, alternating; Post time to comments.; Compare to 150228."
50,"Rest Day; ""From mother to baby: 'Secondhand sugars' can pass through breast milk,"" ScienceDaily.; Post thoughts to comments."
51,"Workout 17.2; Complete as many rounds and reps as possible in 12 minutes of:; 2 rounds of:  50-ft. weighted walking lunge  16 toes-to-bars  8 power cleans  Then, 2 rounds of:  50-ft. weighted walking lunge  16 bar muscle-ups  8 power cleans; Etc., alternating between toes-to-bars and bar muscle-ups every 2 rounds.; Men use 50-lb. dumbbells  Women use 35-lb. dumbbells; Post rounds/reps completed to comments and/or submit your score as part of the 2017 Reebok CrossFit Games Open."
52,Overhead squat 3-3-3-3-3 reps; Post loads to comments.; Compare to 160829.
53,5 rounds of:  5 minutes of rowing  5 minutes of rest; Post distance rowed for each interval to comments.; Compare to 150713.
54,"Complete as many rounds as possible in 7 minutes of:  135-lb. power cleans, 10 reps  20 push-ups; Post rounds completed to comments."
55,"Rest Day; ""Leaked emails reveal largest group of dietitians wants to hide ties to Big Soda,"" Food.mic.; Post thoughts to comments."
56,"Complete as many rounds as possible in 12 minutes of:  15-ft. rope climbs, 3 ascents  135-lb. push presses, 12 reps  50 double-unders; Post rounds completed to comments."
57,Front squat 5-5-3-3-3-1-1-1-1-1 reps  Run 1 mile; Post loads and mile time to comments.; Compare to 020828.
58,Workout 17.1; For time:  10 dumbbell snatches  15 burpee box jump-overs  20 dumbbell snatches  15 burpee box jump-overs  30 dumbbell snatches  15 burpee box jump-overs  40 dumbbell snatches  15 burpee box jump-overs  50 dumbbell snatches  15 burpee box jump-overs; Men use 50-lb. dumbbell and 24-in. box  Women use 35-lb. dumbbell and 20-in. box; Post time to comments and/or register and submit your score as part of the 2017 Reebok CrossFit Games Open.
59,"Rest Day; ""Crash-test dummies are older and fatter -- just like many Americans,"" CNN.; Post thoughts to comments."
60,"Complete as many rounds as possible in 10 minutes of:  10 handstand push-ups to 6-in. deficit  20-calorie row  30 single-legged squats, alternating; Post rounds completed to comments.; Compare to 161109."
61,Yeti; For time:  25 pull-ups  10 muscle-ups  1.5-mile run  10 muscle-ups  25 pull-ups; Post time to comments.
