,Run 800 Meters; 40 sdhp 24/16 KB?s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters
0,14min AMRAP:; Teams of Two- Break reps up however you wish.; 60x Power Cleans (115/75#); 40x Dips; 20x Thrusters (115/75#) ?
1,18 min EMOM:; Minute 1.) 15x Unbroken Wallballs (20/14#); Minute 2.) 50x Double unders -or- :45 seconds of practice; Minute 3.) :30 Plank
2,For TIme:; 12-9-6; Power Snatch (95/65#); Burpee Box Jumps (24/20??)?
3,8min AMRAP; 50x Wallballs; 75x Sit-ups; Max Meters on the rower.?
4,"6RFT:; 4x HSPUs; 4x Box Jumps (28/24"")"
5,12 Min EMOM; Odd: 5 Front Squat 135/95; Even: 7 Toes 2 Bar; M1:115/80; M2: 95/65; A little late but still appropriate!
6,10 Min AMRAP; 4 Muscle Ups; 4 Burpees; 4 KB Swings Red/Yellow
7,800m Run; Then?; 6 Rounds; 14 Burpees over the KB; 14 Goblet Squats; 14 KB Swings
8,Partner WOD; 20 Min AMRAP; 2 Clean & Jerks 135/95; 6 Barbell Burpees; *1 Partner works while the other is resting
9,In teams of 3:; Row as many meters as possible in 15 minutes; * Switch partners ever whenever desired.
10,"15 Min Death by?; Burpees; Shoulder 2 OH w/Barbell; * Begin at 5 reps.; ** If reps aren?t completed in the minute, cut them in half and start from the half reps again."
11,16 Min EMOM; Odd: 10 Shoulder 2 OH 135/95; Even: 25 Sit-Ups; M1: 115/80; M2: 95/65
12,"CrossFit Disco; 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, reps of:; Power Cleans 135/95; Pull Ups; M1:115/80; M2: 95/65"
13,14 Min EMOM; Odd: 4 Power Snatches 95/65; Even: 30 Double Unders/60 Singles; M1: 75/55; M-COMP; Odd: Power Snatch 135/95; Even: 30 Double Unders + 2 Muscle Up?s
14,3 Min AMRAP x 3; 1 Muscle Up; 2 Deadlifts @ 80% of 1 RM; 4 Burpees; *1 min Rest inbetween AMRAP?s
15,Fran; 21-15-9; Thrusters 95/65; Pull-Ups
16,Open WOD 13.1; 17 Min AMRAP; 40 Burpees; 30 Snatches 75/55; 30 Burpees; 30 Snatches 135/95; 20 Burpees; 30 Snatches 165/100; 10 Burpees; Snatches as many as possible at 210/120
17,2 rounds for time:; 50 pull up; 75 Sit-ups; 50 OH squat 75/55; 75 Double-unders; M1:20 attempts; M2:65/45; M3:55/35; M4:45/35
18,Partner WOD; 20 Min AMRAP; 2 Clean & Jerks 135/95; 6 Barbell Burpees; *1 Partner works while the other is resting
19,"Endurance; Set up equipment for part B prior to starting the run.; A. Group Indian Run; -1 lap of the field (3 miles in total); -last person in line sprints to front then last person in line sprints to front for the entire run; -1:00 min rest-; B. 10 AMRAP; 40 Step-ups; 40 Box Jump Overs; 40 Ground to OH (75,55); Remaining time MAX Burpees; -1:00 min rest-; C. 50m Walking lunges (In Place); 50m Jumping Squats; 50 Russian Twists; 50 Sit ups; 50 KBS"
20,5 rounds; 30 Wall Ball 20/14; 15 Push-Ups
21,3 Min AMRAP x 3; 5 Shoulder 2 OH 115/80; 10 Deadlifts; 15 Box Jumps/Step-Ups; M1: 95/65; M2: 75/55; *1 Min rest between rounds
22,"CrossFit Disco; 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, reps of:; Power Cleans 135/95; Pull Ups; M1:115/80; M2: 95/65"
23,12 Min EMOM; Odd: 6 Push Press 135/95; Even: 15 Ball Slams 20/14
24,14 Min EMOM; Odd: 4 Power Snatches 95/65; Even: 30 Double Unders/60 Singles; M1: 75/55; M-COMP; Odd: Power Snatch 135/95; Even: 30 Double Unders + 2 Muscle Up?s
25,"Teams of 3:; 100 Deads, 135/95; 80 Hang Power Clean; 60 Front Squats; 40 Jerks; 20 Thrusters; M1: 115/80; M2: 95/65"
26,"Spice Girls; 3 rounds at each movement before rotating.; :40s for Max Reps, :20s Rest; 1. Row for Calories; 2. Pull-Ups; 3. Pushups; 4. Kettlebell Swings (53/35"
27,"Teams of 2 complete the following:; AMRAP 15:; 5 Snatches 95/65; 10 No Squat Wall Balls 20/14; *One athlete completes a full round, while the other rests."
28,"A.; Every 90 seconds, for 18 minutes (4 sets):; Station 1 ? Barbell Hip Thrusts x 8 reps @ 21X1; Station 2 ? Tempo Push-Ups x 15 reps @ 1111; Station 2 ? Supine Ring Rows x 10 reps @ 2111; B.; Three rounds for time of:; Row 500 Meters; 24 Russian Kettlebell Swings (heavy); 12 Box Jumps (20"
